Campanha,Cliques,CPC,Conversões,CPA,Valor investido
Pesquisa - Aparelhos Auditivos,55989,7.880924,790.083333,376.027491,441245.063680
Aparelhos Auditivos - Padrão [Impressão],52226,7.836111,4781.375632,85.060697,409248.721884
Serviços - Padrão,13887,4.570408,861.466582,73.206371,63469.261845
[Campanha Local] Campanha Local,108457,0.579506,11940.000000,5.263946,62851.519256
DISPLAY,126312,0.462739,136.000000,368.034295,58449.540794
[Rede de Pesquisa] Ligações,2035,18.356561,763.800758,48.907522,37355.602495
[Tráfego] [Pesquisa] [max conversão]Institucional,4113,5.567089,895.387119,25.572667,22897.436944
Outlet 2018 - Pesquisa,1737,11.302263,79.500000,245.269811,19632.030000
DIA DAS MÃES,1610,10.686374,91.000000,188.263865,17205.061737
Loja de Aparelhos Auditivos,6020,2.063390,348.032576,35.690940,12421.609804
[CW] [MT] [Display Inteligente] Campanha de Março,3606,2.039565,107.000000,68.735258,7354.672605
PMax: [Campanha Local] Campanha Local,31533,0.205187,1214.000000,5.329613,6470.150311
Aparelhos Auditivo - Display,4163,0.938410,72.000000,54.258319,3906.598993
Rede de Display,4156,0.759959,0.000000,0.000000,3158.390000
Problemas auditivos - 2020,2013,0.988500,30.000000,66.297333,1989.850000
Serviços - Corona,508,2.816102,61.415166,23.130606,1430.580000
Aparelhos Auditivos - Corona,423,2.875816,81.938834,14.756983,1216.470000
Experiência de CPA desejado: Aparelhos Auditiv...,128,5.770679,12.000000,61.553909,738.646908
Serviços - Padrão - 2020,62,8.452258,7.000000,74.862857,524.040000
Aparelhos Auditivos - Padrão #Conversão,92,5.110388,24.000000,19.589821,470.155700
Lider e Interton Por Todos,93,4.965914,18.000000,25.657222,461.830000
Google_Pesquisa - Aparelhos Auditivos,77,2.692338,0.000000,0.000000,207.310000
Aparelhos Auditivo - Display - Abril,181,0.384120,6.000000,11.587613,69.525676
Website traffic-Smart-20,15,3.070151,0.000000,0.000000,46.052267
Chamada - Centro,8,3.116250,1.000000,22.680000,24.930000
Chamada - Rebouças,8,2.971250,0.000000,0.000000,23.770000
Anúncio Gráfico,24,0.875000,0.000000,0.000000,21.000000
Centro Auditivo Lider,17,0.960000,0.000000,0.000000,16.320000
Promoção de Junho,5,3.024000,0.000000,0.000000,15.120000
Aparelhos Auditivos - Padrão [Conversão],1,12.720000,0.000000,0.000000,12.720000
[CW] [MT] [Alcance] #BlackFriday 2021,1,7.777198,0.000000,0.000000,7.777198
Curitiba - Hotsite,7,0.887143,0.000000,0.000000,6.210000
[CW] [MT] [Alcance] [Display] Janeiro Display,0,0.000000,0.000000,0.000000,1.827287
